mon	week	num
201606	Sun	43271933
201607	Mon	43849688
201607	Tue	44276770
201607	Wed	44819289
201607	Fri	44190928
201607	Sun	46551557
201608	Mon	43477346
201608	Tue	45188957
201608	Wed	44567973
201608	Thu	44699149
201608	Fri	43650183
201608	Sat	45116368
201608	Sun	46840558
201609	Mon	42635383
201609	Tue	43665024
201609	Wed	43088881
201609	Thu	43265928
201609	Fri	42910754
201609	Sat	45252149
201609	Sun	45898696
201610	Mon	42215822
201610	Tue	43230686
201610	Wed	42645682
201610	Thu	41245938
201610	Fri	41705877
201610	Sat	44491317
201610	Sun	45169038
201611	Mon	40926715
201611	Tue	41000527
201611	Wed	41806564
201611	Thu	42370542
201611	Fri	41285848
201611	Sat	43331945
201611	Sun	44441490
201612	Mon	41065091
201612	Tue	41662538
201612	Wed	41299639
201612	Thu	40444582
201612	Fri	40089327
201612	Sat	41193404
201612	Sun	42029955
201613	Mon	39481485
201613	Tue	40748723
201613	Wed	40415754
201613	Thu	40215807
201613	Fri	40300817
201613	Sat	42656888
201614	Mon	43097199
201613	Sun	42204394
201614	Tue	41154604
201614	Wed	43881395
201614	Thu	41548182
201614	Fri	40618307
201614	Sat	43640911
201614	Sun	44903974
201615	Mon	40833801
201615	Tue	41876999
201615	Wed	40492359
201615	Thu	40106344
201615	Fri	41522579
201615	Sat	44554938
201615	Sun	44465192
201616	Mon	39104971
201616	Wed	44751270
201616	Thu	40610207
201616	Fri	40151196
201616	Sat	43161847
201616	Sun	43982676
201617	Mon	39782068
201617	Tue	40421772
201617	Wed	39592333
201617	Thu	38955690
201617	Fri	39201100
201617	Sat	40016022
201617	Sun	39303106
201618	Mon	42952005
201618	Tue	40332359
201618	Wed	39561082
201618	Thu	39765646
201618	Fri	38874280
201618	Sat	41443700
201618	Sun	42280053
201619	Mon	39541625
201619	Tue	39233397
201619	Wed	39623915
201619	Thu	39836474
201619	Fri	40820476
201619	Sun	43865140
201619	Sat	43714593
201620	Mon	38887699
201620	Tue	38867181
201620	Wed	38925704
201620	Thu	40142835
201620	Fri	39508714
201620	Sat	42583186
201620	Sun	43181703
201621	Mon	40622742
201621	Tue	40031102
201621	Wed	39414149
201621	Thu	40231299
201621	Fri	42229073
201621	Sat	38840246
201621	Sun	39835306
201622	Mon	34441090
201622	Tue	37792999
201622	Wed	37664587
201622	Thu	40021589
201622	Fri	40002473
201622	Sat	40420491
201622	Sun	43475424
201623	Mon	39521558
201623	Thu	39584926
201623	Fri	39750316
201623	Sat	40750690
201623	Sun	40084119
201624	Mon	38846402
201624	Tue	40769978
201624	Sun	37530402
201624	Wed	39002951
201624	Thu	38052453
201624	Fri	37362389
201624	Sat	39813634
201625	Mon	39244620
201625	Tue	34749211
201625	Thu	38950065
201625	Fri	38139392
201625	Sun	44533494
201625	Sat	41748945
201626	Mon	39656534
201626	Tue	39729717
201626	Wed	38652044
201626	Thu	39571475
201626	Fri	39837896
201626	Sat	41616649
201626	Sun	42536759
201627	Mon	39328603
201627	Tue	39091258
201627	Wed	39369080
201627	Fri	37891801
201627	Sat	39875582
201627	Sun	41122708
201628	Mon	38787850
201628	Tue	35659745
201627	Thu	39199774
201628	Wed	38482307
201628	Thu	38835777
201628	Fri	37299970
201628	Sat	38774758
201628	Sun	40177142
201629	Mon	38037427
201629	Tue	39299980
201629	Wed	38955876
201629	Thu	38168424
201629	Fri	37236140
201629	Sat	38731514
201629	Sun	40018663
201630	Mon	37113730
201630	Tue	36858141
201630	Wed	36911870
201630	Thu	36792848
201630	Fri	35781791
201630	Sat	38021680
201630	Sun	38703934
201631	Mon	36608941
201631	Tue	36494435
201631	Wed	37250101
201631	Thu	36711873
201631	Fri	35755782
201631	Sat	36623843
201631	Sun	37748252
201632	Mon	34781388
201632	Tue	33970084
201632	Wed	37384161
201632	Thu	35421053
201632	Fri	35769836
201632	Sat	38050612
201632	Sun	39516131
201633	Mon	31702051
201633	Tue	36640722
201633	Wed	36061787
201633	Thu	36117071
201633	Sat	36068584
201633	Sun	37284821
201634	Mon	33613522
201633	Fri	34706717
201634	Tue	36886302
201634	Wed	39963502
201634	Thu	39663585
201634	Fri	38430950
201634	Sat	39510026
201634	Sun	40350814
201635	Mon	37398611
201635	Tue	37511793
201635	Wed	37885357
201635	Thu	37669982
201635	Fri	36821142
201635	Sun	40250104
201635	Sat	38856198
201636	Mon	36595509
201636	Tue	37191276
201636	Wed	37543552
201636	Thu	36737029
201636	Fri	35863173
201636	Sat	37839020
201636	Sun	39585932
201637	Mon	35746771
201637	Tue	35351186
201637	Wed	35832222
201637	Thu	36047515
201637	Sat	38396400
201637	Fri	37350419
201637	Sun	37061872
201638	Mon	35680408
201638	Tue	35347086
201638	Wed	35359640
201638	Thu	34785777
201638	Fri	35061938
201638	Sat	37716261
201638	Sun	38506142
201639	Mon	35080055
201639	Tue	35661062
201639	Wed	35371307
201639	Thu	34962796
201639	Fri	34978650
201639	Sat	35509320
201639	Sun	34130629
201640	Mon	34171527
201640	Tue	34554582
201640	Wed	35195010
201640	Thu	36616571
201640	Fri	38940590
201640	Sat	36597162
201640	Sun	35906160
201641	Mon	34032444
201641	Tue	34218403
201641	Wed	35724325
201641	Thu	35060457
201641	Fri	35227795
201641	Sat	38056112
201641	Sun	38554499
201642	Mon	32667889
201642	Tue	36030509
201642	Wed	37345126
201642	Thu	35647524
201642	Fri	36257405
201642	Sat	37656653
201642	Sun	38064209
201643	Mon	34362782
201643	Tue	34369941
201643	Wed	35159195
201643	Thu	34947970
201643	Fri	34793542
201643	Sat	36152011
201643	Sun	36292291
201644	Mon	33565939
201644	Tue	32972325
201644	Wed	33264895
201644	Thu	32590857
201644	Fri	32818285
201644	Sat	35203101
201644	Sun	36699187
201645	Mon	34697935
201645	Tue	33770473
201645	Wed	32776884
201645	Thu	31816037
201645	Fri	30896775
201645	Sat	34985440
201645	Sun	36516923
201646	Mon	33584100
201646	Tue	33358429
201646	Wed	33625941
201646	Thu	33585540
201646	Fri	33503474
201646	Sat	35819400
201646	Sun	37054354
201647	Mon	33991472
201647	Tue	33688513
201647	Wed	32493468
201647	Thu	31301398
201647	Fri	32823953
201647	Sat	34967329
201647	Sun	34365913
201648	Mon	32265121
201648	Tue	33184493
201648	Wed	32692790
201648	Thu	33880322
201648	Sat	37668710
201648	Sun	38664368
201648	Fri	34721119
201649	Mon	36307100
201649	Tue	36643679
201649	Wed	37267392
201649	Thu	37197763
201649	Fri	36511791
201649	Sat	38840809
201649	Sun	39744855
201650	Mon	36501721
201650	Tue	38210685
201650	Wed	37239690
201650	Sat	37339206
201650	Sun	38513410
201651	Mon	36067563
201651	Tue	36908521
201651	Wed	37867065
201651	Thu	37030151
201651	Fri	36427711
201651	Sat	36744069
201651	Sun	38719760
201652	Mon	36530518
201652	Tue	35678545
201652	Wed	35196057
201652	Thu	35072931
201652	Fri	35214007
201652	Sat	34871021
201652	Sun	34520444
201701	Mon	37850761
201701	Tue	36322370
201701	Wed	36307679
201701	Thu	36417913
201701	Fri	36101735
201701	Sat	38428273
201701	Sun	38689241
201702	Mon	35226689
201702	Tue	36428253
201702	Wed	36560890
201702	Thu	35599457
201702	Fri	34710603
201702	Sat	36249772
201702	Sun	37277602
201703	Mon	34796561
201703	Tue	35509643
201703	Wed	35289591
201703	Thu	34741991
201703	Fri	33025453
201703	Sat	34010627
201703	Sun	33484128
201704	Mon	32309780
201704	Tue	32436744
201704	Wed	30958649
201704	Thu	28953071
201704	Fri	20885572
201704	Sat	25172394
201704	Sun	26457491
201705	Mon	27673861
201705	Tue	28431000
201705	Wed	30390104
201705	Thu	33710971
201705	Fri	36298532
201705	Sat	37273783
201705	Sun	38412551
201706	Mon	36947908
201706	Tue	37110284
201706	Wed	37529384
201706	Thu	35969415
201706	Fri	34768500
201706	Sat	33870672
201706	Sun	36310087
